origin_city;destination_city
Frankfurt,FRA;Barcelona,BCN
Fuerteventura,FUE;Barcelona,BCN
Hamburg,HAM;Barcelona,BCN
Ibiza,IBZ;Barcelona,BCN
Krakow,KRK;Barcelona,BCN
Gran Canaria,LPA;Barcelona,BCN
Liverpool,LPL;Barcelona,BCN
Luxemburg,LUX;Barcelona,BCN
Manchester,MAN;Barcelona,BCN
Naples,NAP;Barcelona,BCN
El Aroui,NDR;Barcelona,BCN
Stockholm,NYO;Barcelona,BCN
Porto,OPO;Barcelona,BCN
Prestwick,PIK;Barcelona,BCN
Palma de Mallorca,PMI;Barcelona,BCN
Prague,PRG;Barcelona,BCN
Marrakech,RAK;Barcelona,BCN
Santiago,SCQ;Barcelona,BCN
Santander,SDR;Barcelona,BCN
Sofia,SOF;Barcelona,BCN
London,STN;Barcelona,BCN
Sevilla,SVQ;Barcelona,BCN
Berlin,SXF;Barcelona,BCN
Tenerife,TFN;Barcelona,BCN
Tenerife,TFS;Barcelona,BCN
Torino,TRN;Barcelona,BCN
Venice,VCE;Barcelona,BCN
Vigo,VGO;Barcelona,BCN
Valladolid,VLL;Barcelona,BCN
Vilnius,VNO;Barcelona,BCN
Warsaw,WMI;Barcelona,BCN
Jerez,XRY;Barcelona,BCN
Bergamo,BGY;Brindisi,BDS
Bologna,BLQ;Brindisi,BDS
Charleroi,CRL;Brindisi,BDS
Eindhoven,EIN;Brindisi,BDS
Rome,FCO;Brindisi,BDS
Frankfurt,FRA;Brindisi,BDS
Pisa,PSA;Brindisi,BDS
London,STN;Brindisi,BDS
Torino,TRN;Brindisi,BDS
Treviso,TSF;Brindisi,BDS
Marseille,MRS;Brest,BES
Arrecife,ACE;Belfast,BFS
Malaga,AGP;Belfast,BFS
Alicante,ALC;Belfast,BFS
Bergamo,BGY;Belfast,BFS
Gdansk,GDN;Belfast,BFS
Krakow,KRK;Belfast,BFS
Malta,MLA;Belfast,BFS
Berlin,SXF;Belfast,BFS
Tenerife,TFS;Belfast,BFS
Warsaw,WMI;Belfast,BFS
Wroclaw,WRO;Belfast,BFS
Arrecife,ACE;Bergamo,BGY
Malaga,AGP;Bergamo,BGY
Alghero,AHO;Bergamo,BGY
Alicante,ALC;Bergamo,BGY
Athens,ATH;Bergamo,BGY
Barcelona,BCN;Bergamo,BGY
Brindisi,BDS;Bergamo,BGY
Belfast,BFS;Bergamo,BGY
Bordeaux,BOD;Bergamo,BGY
Bari,BRI;Bergamo,BGY
Bristol,BRS;Bergamo,BGY
Bratislava,BTS;Bergamo,BGY
Budapest,BUD;Bergamo,BGY
Beauvais,BVA;Bergamo,BGY
Cagliari,CAG;Bergamo,BGY
Cologne,CGN;Bergamo,BGY
Copenhagen,CPH;Bergamo,BGY
Charleroi,CRL;Bergamo,BGY
Catania,CTA;Bergamo,BGY
Dublin,DUB;Bergamo,BGY
Edinburgh,EDI;Bergamo,BGY
Eindhoven,EIN;Bergamo,BGY
East Midlands,EMA;Bergamo,BGY
Fes,FEZ;Bergamo,BGY
Frankfurt,FRA;Bergamo,BGY
Fuerteventura,FUE;Bergamo,BGY
Gdansk,GDN;Bergamo,BGY
Hamburg,HAM;Bergamo,BGY
Nis,INI;Bergamo,BGY
Krakow,KRK;Bergamo,BGY
Lisbon,LIS;Bergamo,BGY
Gran Canaria,LPA;Bergamo,BGY
Luxemburg,LUX;Bergamo,BGY
Madrid,MAD;Bergamo,BGY
Manchester,MAN;Bergamo,BGY
Malta,MLA;Bergamo,BGY
Naples,NAP;Bergamo,BGY
Weeze,NRN;Bergamo,BGY
Nuernberg,NUE;Bergamo,BGY
Stockholm,NYO;Bergamo,BGY
Oradea,OMR;Bergamo,BGY
Porto,OPO;Bergamo,BGY
Ostrava,OSR;Bergamo,BGY
Bucharest,OTP;Bergamo,BGY
Plovdiv,PDV;Bergamo,BGY
Palermo,PMO;Bergamo,BGY
Prague,PRG;Bergamo,BGY
Pescara,PSR;Bergamo,BGY
Marrakech,RAK;Bergamo,BGY
Riga,RIX;Bergamo,BGY
Santiago,SCQ;Bergamo,BGY
Thessaloniki,SKG;Bergamo,BGY
London,STN;Bergamo,BGY
Lamezia,SUF;Bergamo,BGY
Sevilla,SVQ;Bergamo,BGY
Berlin,SXF;Bergamo,BGY
Tenerife,TFS;Bergamo,BGY
Tallinn-ulemiste International,TLL;Bergamo,BGY
Tel-aviv,TLV;Bergamo,BGY
Trapani,TPS;Bergamo,BGY
Sandefjord,TRF;Bergamo,BGY
Timisoara,TSR;Bergamo,BGY
Ovda,VDA;Bergamo,BGY
Vitoria,VIT;Bergamo,BGY
Valencia,VLC;Bergamo,BGY
Vilnius,VNO;Bergamo,BGY
Warsaw,WMI;Bergamo,BGY
Wroclaw,WRO;Bergamo,BGY
Zaragoza,ZAZ;Bergamo,BGY
Arrecife,ACE;Birmingham,BHX
Malaga,AGP;Birmingham,BHX
Alicante,ALC;Birmingham,BHX
Barcelona,BCN;Birmingham,BHX
Bratislava,BTS;Birmingham,BHX
Bydgoszcz,BZG;Birmingham,BHX
Dublin,DUB;Birmingham,BHX
Faro,FAO;Birmingham,BHX
Fuerteventura,FUE;Birmingham,BHX
Gdansk,GDN;Birmingham,BHX
Krakow,KRK;Birmingham,BHX
Katowice,KTW;Birmingham,BHX
Gran Canaria,LPA;Birmingham,BHX
Madrid,MAD;Birmingham,BHX
Murcia,MJV;Birmingham,BHX
Malta,MLA;Birmingham,BHX
Sofia,SOF;Birmingham,BHX
Tenerife,TFS;Birmingham,BHX
Vilnius,VNO;Birmingham,BHX
Villafranca,VRN;Birmingham,BHX
Warsaw,WMI;Birmingham,BHX
Charleroi,CRL;Biarritz-bayonne,BIQ
London,STN;Biarritz-bayonne,BIQ
Malaga,AGP;Billund,BLL
Alicante,ALC;Billund,BLL
Budapest,BUD;Billund,BLL
Poznan,POZ;Billund,BLL
London,STN;Billund,BLL
Berlin,SXF;Billund,BLL
Arrecife,ACE;Bologna,BLQ
Malaga,AGP;Bologna,BLQ
Alghero,AHO;Bologna,BLQ
Athens,ATH;Bologna,BLQ
Barcelona,BCN;Bologna,BLQ
Brindisi,BDS;Bologna,BLQ
Bari,BRI;Bologna,BLQ
Bratislava,BTS;Bologna,BLQ
Beauvais,BVA;Bologna,BLQ
Cagliari,CAG;Bologna,BLQ
Cologne,CGN;Bologna,BLQ
Copenhagen,CPH;Bologna,BLQ
Charleroi,CRL;Bologna,BLQ
Catania,CTA;Bologna,BLQ
Dublin,DUB;Bologna,BLQ
Edinburgh,EDI;Bologna,BLQ
Eindhoven,EIN;Bologna,BLQ
Krakow,KRK;Bologna,BLQ
Lisbon,LIS;Bologna,BLQ
Gran Canaria,LPA;Bologna,BLQ
Madrid,MAD;Bologna,BLQ
Malta,MLA;Bologna,BLQ
Naples,NAP;Bologna,BLQ
Bucharest,OTP;Bologna,BLQ
Palermo,PMO;Bologna,BLQ
Prague,PRG;Bologna,BLQ
London,STN;Bologna,BLQ
Lamezia,SUF;Bologna,BLQ
Sevilla,SVQ;Bologna,BLQ
Berlin,SXF;Bologna,BLQ
Tenerife,TFS;Bologna,BLQ
Trapani,TPS;Bologna,BLQ
Valencia,VLC;Bologna,BLQ
Warsaw,WMI;Bologna,BLQ
Wroclaw,WRO;Bologna,BLQ
Bergamo,BGY;Bordeaux,BOD
Rome,CIA;Bordeaux,BOD
Charleroi,CRL;Bordeaux,BOD
Porto,OPO;Bordeaux,BOD
London,STN;Bordeaux,BOD
Sevilla,SVQ;Bordeaux,BOD
Malaga,AGP;Bournemouth,BOH
Alicante,ALC;Bournemouth,BOH
Faro,FAO;Bournemouth,BOH
Krakow,KRK;Bournemouth,BOH
Malta,MLA;Bournemouth,BOH
Tenerife,TFS;Bournemouth,BOH
Malaga,AGP;Bremen,BRE
Alicante,ALC;Bremen,BRE
Fes,FEZ;Bremen,BRE
Fuerteventura,FUE;Bremen,BRE
Palma de Mallorca,PMI;Bremen,BRE
Riga,RIX;Bremen,BRE
London,STN;Bremen,BRE
Tenerife,TFS;Bremen,BRE
Ovda,VDA;Bremen,BRE
Vilnius,VNO;Bremen,BRE
Bergamo,BGY;Bari,BRI
Bologna,BLQ;Bari,BRI
Beauvais,BVA;Bari,BRI
Cagliari,CAG;Bari,BRI
Charleroi,CRL;Bari,BRI
Rome,FCO;Bari,BRI
Karlsruhe/Baden-Baden,FKB;Bari,BRI
Genoa,GOA;Bari,BRI
Hahn,HHN;Bari,BRI
Madrid,MAD;Bari,BRI
Malta,MLA;Bari,BRI
Weeze,NRN;Bari,BRI
Nuernberg,NUE;Bari,BRI
Pisa,PSA;Bari,BRI
London,STN;Bari,BRI
Sevilla,SVQ;Bari,BRI
Berlin,SXF;Bari,BRI
Torino,TRN;Bari,BRI
Ronchi De Legionari,TRS;Bari,BRI
Treviso,TSF;Bari,BRI
Valencia,VLC;Bari,BRI
London,STN;Brno,BRQ
Arrecife,ACE;Bristol,BRS
Malaga,AGP;Bristol,BRS
Alicante,ALC;Bristol,BRS
Bergamo,BGY;Bristol,BRS
Budapest,BUD;Bristol,BRS
Cologne,CGN;Bristol,BRS
Dublin,DUB;Bristol,BRS
Faro,FAO;Bristol,BRS
Gdansk,GDN;Bristol,BRS
Krakow,KRK;Bristol,BRS
Kaunas,KUN;Bristol,BRS
Gran Canaria,LPA;Bristol,BRS
Malta,MLA;Bristol,BRS
Bucharest,OTP;Bristol,BRS
Poznan,POZ;Bristol,BRS
Rzeszow,RZE;Bristol,BRS
Tenerife,TFS;Bristol,BRS
Venice,VCE;Bristol,BRS
Warsaw,WMI;Bristol,BRS
Wroclaw,WRO;Bristol,BRS
Malaga,AGP;Brussels,BRU
Alicante,ALC;Brussels,BRU
Barcelona,BCN;Brussels,BRU
Dublin,DUB;Brussels,BRU
Rome,FCO;Brussels,BRU
Larnaca,LCA;Brussels,BRU
Lisbon,LIS;Brussels,BRU
Madrid,MAD;Brussels,BRU
Malta,MLA;Brussels,BRU
Milano,MXP;Brussels,BRU
Porto,OPO;Brussels,BRU
Berlin,SXF;Brussels,BRU
Treviso,TSF;Brussels,BRU
Valencia,VLC;Brussels,BRU
Dublin,DUB;Mulhouse,BSL
London,STN;Mulhouse,BSL
Athens,ATH;Bratislava,BTS
Bergamo,BGY;Bratislava,BTS
Birmingham,BHX;Bratislava,BTS
Bologna,BLQ;Bratislava,BTS
Rome,CIA;Bratislava,BTS
Charleroi,CRL;Bratislava,BTS
Dublin,DUB;Bratislava,BTS
Edinburgh,EDI;Bratislava,BTS
